Location name;Year;Month;Day;Country;Focal Depth;EQ Primary;Flag Tsunami;Deaths;Injuries;Missing;Missing Description;Houses destroyed;Houses damaged;Damage (in M$);Damage Description;Lat;Lon;Height
VANUATU ISLANDS:  EFATE, PORT VILA;2002;01;02;VANUATU;21;7.2;Tsunami;;;;;;;;LIMITED (roughly corresponding to less than $1 million);-17.6;167.856;0
MEXICO:  MEXICALI, BAJA CALIFORNIA;2002;02;22;MEXICO;7;5.5;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);32.319;-115.322;0
KYRGYZSTAN;2002;09;05;KYRGYZSTAN;32;5.5;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);39.77;72.007;0
ITALY:  SAN GUILIANO DI PUGLIA, CAMPOBASSO;2002;10;31;ITALY;10;5.7;;29;135;;;;;796;EXTREME (~$25 million or more);41.789;14.872;0
INDONESIA:  BALI;2004;04;16;INDONESIA;96;5.5;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);-8.669;114.65;0
AFGHANISTAN: HERAT;2004;07;14;AFGHANISTAN;;4.6;;;;;;;;;MODERATE (~$1 to $5 million);34.89;61.852;0
GREECE:  CRETE:  ANTIKYTHIRA;2004;11;04;GREECE;74;5.2;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);35.945;23.115;0
TRINIDAD:  MAYARO;2004;12;02;TRINIDAD AND TOBAGO;49;5.8;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);10.49;-61.48;0
ALGERIA:  ZEMMOURI;2004;12;05;ALGERIA;10;4.5;;;46;;;;;;;36.865;3.421;0
TURKEY:  IZMIR;2005;10;20;TURKEY;10;5.9;;1;15;;;;;;LIMITED (roughly corresponding to less than $1 million);38.152;26.751;0
PERU:  N;2005;10;31;PERU;40;5.4;;;;;;20;;;;-5.852;-78.704;0
AFGHANISTAN:  TILI, JALALABAD, BADAKHSHAN;2005;12;12;AFGHANISTAN;225;6.5;;5;1;;;100;100;;LIMITED (roughly corresponding to less than $1 million);36.357;71.093;0
GREECE:  SOUTHERN;2006;01;08;GREECE;66;6.7;;;3;;;;;;LIMITED (roughly corresponding to less than $1 million);36.311;23.212;0
INDONESIA:  SERAM;2006;03;14;INDONESIA;30;6.7;Tsunami;;;;;241;;;MODERATE (~$1 to $5 million);-3.595;127.214;0
CHINA:  TIBET (XIZANG PROVINCE);2006;04;19;CHINA;33;5.7;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);31.607;90.413;0
CHINA:  GANSU PROVINCE;2006;06;20;CHINA;24;4.5;;;5;;;;;;LIMITED (roughly corresponding to less than $1 million);33.068;104.95;0
GULF OF MEXICO;2006;09;10;MEXICO;14;5.8;;;;;;;;;;26.319;-86.606;0
UNITED KINGDOM:  ENGLAND:  FOLKESTONE;2007;04;28;UK;10;4.6;;;1;;;;;;LIMITED (roughly corresponding to less than $1 million);51.085;1.009;0
KERMADEC ISLANDS;2007;12;09;KERMADEC ISLANDS (NEW ZEALAND);153;7.8;Tsunami;;;;;;;;;-25.996;-177.514;0
INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI;2008;01;22;INDONESIA;20;6.1;;1;5;;;;;;LIMITED (roughly corresponding to less than $1 million);1.011;97.442;0
IRAN:  NE:  KATKAN;2008;07;03;IRAN;10;5;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);35.5;58.8;0
